index,ID,STATION_NAME,PROV_TERR,REGIONAL_OFFICE_ID,HYD_STATUS,LATITUDE,LONGITUDE,DRAINAGE_AREA_GROSS_KM2,PROV_TERR_ID
0,01AD002,SAINT JOHN RIVER AT FORT KENT,ME,7,A,47.258060455322266,-68.59583282470703,14700.0,ME01AD002
1,01AD003,ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE,NB,7,A,47.20661163330078,-68.95693969726562,1350.0,NB01AD003
2,01AD004,SAINT JOHN RIVER AT EDMUNDSTON,NB,7,A,47.36077880859375,-68.32489013671875,15500.0,NB01AD004
3,01AD015,MADAWASKA (RIVIÈRE) À 6 KM EN AVAL DU BARRAGE TÉMISCOUATA,QC,6,A,47.53850173950195,-68.591796875,2712.0,QC01AD015
4,01AE001,FISH RIVER NEAR FORT KENT,ME,7,A,47.23749923706055,-68.58277893066406,2260.0,ME01AE001
5,01AF002,SAINT JOHN RIVER AT GRAND FALLS,NB,7,A,47.03889083862305,-67.7397232055664,21900.0,NB01AF002
6,01AF007,GRANDE RIVIERE AT VIOLETTE BRIDGE,NB,7,A,47.24697113037109,-67.92127990722656,339.0,NB01AF007
7,01AF009,IROQUOIS RIVER AT MOULIN MORNEAULT,NB,7,A,47.45782852172852,-68.35682678222656,182.0,NB01AF009
8,01AG003,AROOSTOOK RIVER NEAR TINKER,NB,7,A,46.81636047363281,-67.75196838378906,6060.0,NB01AG003
9,01AH002,TOBIQUE RIVER AT RILEY BROOK,NB,7,A,47.17303085327149,-67.21080780029297,2230.0,NB01AH002
10,01AJ003,MEDUXNEKEAG RIVER NEAR BELLEVILLE,NB,7,A,46.21622085571289,-67.72794342041016,1210.0,NB01AJ003
11,01AJ004,BIG PRESQUE ISLE STREAM AT TRACEY MILLS,NB,7,A,46.438358306884766,-67.73844146728516,484.0,NB01AJ004
12,01AJ010,BECAGUIMEC STREAM AT COLDSTREAM,NB,7,A,46.34088897705078,-67.4651107788086,350.0,NB01AJ010
13,01AK001,SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY,NB,7,A,45.94353103637695,-67.32035827636719,234.0,NB01AK001
14,01AK003,SAINT JOHN RIVER AT FREDERICTON,NB,7,A,45.966190338134766,-66.651611328125,,NB01AK003
15,01AK006,MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM,NB,7,A,46.08280944824219,-66.7330322265625,5.699999809265137,NB01AK006
16,01AK007,NACKAWIC STREAM NEAR TEMPERANCE VALE,NB,7,A,46.04877853393555,-67.23960876464844,240.0,NB01AK007
17,01AL002,NASHWAAK RIVER AT DURHAM BRIDGE,NB,7,A,46.125919342041016,-66.61131286621094,1450.0,NB01AL002
